Cod_Divisiones,Nombre_Div,Pais
B1,Division 1A,Bélgica
D1,Bundesliga,Alemania
D2,2. Bundesliga,Alemania
E0,Premier League,Inglaterra
E1,EFL Championship,Inglaterra
E2,EFL League One,Inglaterra
E3,EFL League Two,Inglaterra
EC,National League,Inglaterra
F1,Ligue 1,Francia
F2,Ligue 2,Francia
G1,Superleague,Grecia
I1,Seria A,Italia
I2,Seria B,Italia
N1,Eredivisie,Países Bajos
P1,Liga NOS,Portugal
SC0,Scottish Premiership,Escocia
SC1,Scottish Championship,Escocia
SC2,Scottish League One,Escocia
SP1,LaLiga,España
SP2,LaLiga 2,España
T1,Süper Lig,Turquía
